B,G,R,Target
31,30,45,hijau
125,162,134,hijau
130,170,138,hijau
129,169,135,hijau
131,170,139,hijau
131,170,139,hijau
131,169,138,hijau
133,171,142,hijau
133,171,142,hijau
131,169,139,hijau
130,170,140,hijau
129,169,138,hijau
130,168,137,hijau
128,167,135,hijau
128,167,134,hijau
125,165,132,hijau
126,165,133,hijau
131,171,140,hijau
133,172,144,hijau
128,167,137,hijau
127,165,132,hijau
126,165,132,hijau
122,161,127,hijau
120,161,123,hijau
116,159,122,hijau
116,158,121,hijau
117,157,123,hijau
116,155,120,hijau
110,150,114,hijau
110,151,115,hijau
116,154,121,hijau
116,155,123,hijau
113,152,117,hijau
110,150,113,hijau
104,143,107,hijau
96,137,98,hijau
91,133,92,hijau
87,129,89,hijau
82,124,83,hijau
78,120,77,hijau
70,113,68,hijau
60,104,53,hijau
55,104,44,hijau
53,102,39,hijau
51,103,36,hijau
52,108,31,hijau
53,113,31,hijau
53,119,28,hijau
59,126,26,hijau
57,124,24,hijau
68,141,23,hijau
68,141,23,hijau
66,145,20,hijau
66,145,20,hijau
70,152,21,hijau
70,152,21,hijau
72,153,21,hijau
72,153,21,hijau
75,160,21,hijau
75,160,21,hijau
78,168,22,hijau
78,168,22,hijau
76,166,22,hijau
76,166,22,hijau
75,165,22,hijau
75,165,22,hijau
78,171,23,hijau
77,167,22,hijau
77,167,22,hijau
77,167,22,hijau
77,168,23,hijau
77,168,23,hijau
80,173,24,hijau
80,173,24,hijau
80,172,23,hijau
80,172,23,hijau
83,173,24,hijau
83,173,24,hijau
81,175,24,hijau
75,163,22,hijau
75,163,22,hijau
75,163,22,hijau
72,160,22,hijau
72,160,22,hijau
70,157,22,hijau
70,157,22,hijau
70,158,21,hijau
70,158,21,hijau
71,157,22,hijau
71,157,22,hijau
74,166,22,hijau
73,165,22,hijau
73,165,22,hijau
70,159,22,hijau
70,159,22,hijau
70,159,22,hijau
70,162,22,hijau
70,162,22,hijau
77,173,23,hijau
77,173,23,hijau
92,195,27,hijau
92,195,27,hijau
104,208,31,hijau
98,202,29,hijau
98,202,29,hijau
90,192,26,hijau
90,192,26,hijau
77,174,23,hijau
77,174,23,hijau
77,174,23,hijau
76,170,22,hijau
76,170,22,hijau
79,174,23,hijau
79,174,23,hijau
92,194,27,hijau
94,199,28,hijau
94,199,28,hijau
100,202,29,hijau
100,202,29,hijau
96,200,28,hijau
96,200,28,hijau
96,200,28,hijau
85,187,26,hijau
85,187,26,hijau
74,167,22,hijau
74,167,22,hijau
75,169,23,hijau
70,153,21,hijau
70,153,21,hijau
68,147,20,hijau
68,147,20,hijau
64,146,19,hijau
64,146,19,hijau
62,144,19,hijau
62,144,19,hijau
62,144,19,hijau
71,162,22,hijau
71,162,22,hijau
68,156,21,hijau
77,168,23,hijau
77,168,23,hijau
63,141,19,hijau
63,141,19,hijau
68,153,21,hijau
68,153,21,hijau
67,148,20,hijau
67,148,20,hijau
67,148,20,hijau
82,177,24,hijau
82,177,24,hijau
89,189,26,hijau
82,176,25,hijau
82,176,25,hijau
88,186,26,hijau
88,186,26,hijau
92,184,27,hijau
92,184,27,hijau
98,186,41,hijau
98,186,41,hijau
108,193,47,hijau
108,193,47,hijau
108,193,47,hijau
97,181,39,hijau
99,185,45,hijau
99,185,45,hijau
95,181,39,hijau
95,181,39,hijau
95,181,39,hijau
95,181,39,hijau
89,169,38,hijau
93,171,46,hijau
106,188,56,hijau
108,194,52,hijau
108,194,52,hijau
103,195,42,hijau
103,195,42,hijau
94,188,31,hijau
94,188,31,hijau
92,186,31,hijau
92,186,31,hijau
106,191,48,hijau
106,191,48,hijau
100,180,46,hijau
100,180,46,hijau
102,178,61,hijau
102,178,61,hijau
116,189,86,hijau
116,189,86,hijau
148,216,132,hijau
148,216,132,hijau
169,227,165,hijau
169,227,165,hijau
170,230,163,hijau
170,230,163,hijau
143,218,122,hijau
143,218,122,hijau
110,180,93,hijau
110,180,93,hijau
128,192,118,hijau
128,192,118,hijau
131,194,123,hijau
131,194,123,hijau
110,172,96,hijau
110,172,96,hijau
86,156,63,hijau
86,156,63,hijau
55,117,23,hijau
55,117,23,hijau
45,109,14,hijau
45,109,14,hijau
44,109,14,hijau
44,109,14,hijau
67,150,21,hijau
67,150,21,hijau
53,121,15,hijau
53,121,15,hijau
47,114,14,hijau
47,114,14,hijau
45,106,14,hijau
45,106,14,hijau
46,109,15,hijau
46,109,15,hijau
50,119,16,hijau
50,119,16,hijau
55,130,18,hijau
55,130,18,hijau
57,135,18,hijau
57,135,18,hijau
60,140,19,hijau
60,140,19,hijau
60,142,19,hijau
60,142,19,hijau
58,138,18,hijau
58,138,18,hijau
53,127,17,hijau
53,127,17,hijau
52,126,16,hijau
52,126,16,hijau
54,131,18,hijau
54,131,18,hijau
60,141,19,hijau
60,141,19,hijau
66,148,20,hijau
66,148,20,hijau
66,149,20,hijau
66,149,20,hijau
64,149,20,hijau
64,149,20,hijau
67,150,21,hijau
67,150,21,hijau
67,150,21,hijau
67,150,21,hijau
67,151,21,hijau
67,151,21,hijau
78,169,23,hijau
78,169,23,hitam
2,0,4,hitam
1,0,4,hitam
1,0,3,hitam
1,0,4,hitam
1,0,4,hitam
1,0,3,hitam
1,0,3,hitam
1,0,3,hitam
1,0,3,hitam
1,0,3,hitam
1,0,3,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
1,0,1,hitam
1,0,1,hitam
4,0,3,hitam
4,0,3,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,2,hitam
2,0,2,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
1,0,4,hitam
1,0,4,hitam
1,0,4,hitam
1,0,4,hitam
2,0,3,hitam
2,0,3,hitam
1,0,4,hitam
1,0,4,hitam
1,0,4,hitam
1,0,4,hitam
2,0,4,hitam
2,0,4,hitam
2,0,3,hitam
2,0,3,hitam
2,0,3,hitam
2,0,3,hitam
1,0,4,hitam
1,0,4,hitam
1,0,3,hitam
1,0,3,hitam
1,0,3,hitam
1,0,3,hitam
1,0,4,hitam
1,0,4,hitam
2,0,3,hitam
2,0,3,hitam
1,0,3,hitam
1,0,3,hitam
2,0,4,hitam
2,0,4,hitam
2,0,3,hitam
2,0,3,hitam
2,0,3,hitam
2,0,3,hitam
2,0,3,hitam
2,0,3,hitam
1,0,3,hitam
1,0,3,hitam
2,0,3,hitam
2,0,3,hitam
1,0,4,hitam
1,0,4,hitam
2,0,3,hitam
1,0,3,hitam
1,0,3,hitam
1,0,3,hitam
4,0,3,hitam
4,0,3,hitam
2,0,3,hitam
2,0,3,hitam
1,0,3,hitam
1,0,3,hitam
4,0,1,hitam
4,0,1,hitam
2,0,0,hitam
3,0,0,hitam
3,0,0,hitam
2,0,3,hitam
2,0,3,hitam
2,0,3,hitam
1,0,4,hitam
1,0,4,hitam
1,0,3,hitam
1,0,3,hitam
4,0,3,hitam
4,0,3,hitam
4,0,1,hitam
4,0,1,hitam
4,0,1,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
4,0,3,hitam
4,0,3,hitam
1,0,4,hitam
1,0,4,hitam
1,0,4,hitam
1,0,3,hitam
1,0,3,hitam
1,0,3,hitam
1,0,3,hitam
3,0,0,hitam
3,0,0,hitam
3,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,0,hitam
2,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
2,0,1,hitam
2,0,1,hitam
1,0,0,hitam
1,0,0,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
2,0,1,hitam
1,0,1,hitam
1,0,1,hitam
2,0,1,hitam
2,0,1,hitam
1,0,1,hitam
1,0,1,hitam
2,0,0,hitam
1,0,1,hitam
2,0,0,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
2,0,1,hitam
2,0,1,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
1,0,1,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
2,0,1,hitam
2,0,1,hitam
1,0,1,hitam
1,0,1,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,0,hitam
1,0,1,hitam
1,0,1,hitam
122,103,185,biru
197,181,78,biru
197,181,76,biru
197,181,78,biru
197,181,78,biru
198,182,75,biru
198,182,75,biru
198,182,75,biru
197,182,79,biru
197,182,79,biru
197,181,78,biru
197,181,78,biru
198,181,77,biru
197,181,74,biru
197,181,74,biru
197,181,77,biru
197,181,77,biru
198,181,78,biru
198,181,78,biru
198,181,78,biru
197,181,78,biru
197,181,78,biru
197,181,76,biru
197,181,76,biru
197,181,76,biru
197,181,75,biru
197,181,75,biru
197,181,75,biru
197,181,75,biru
196,181,75,biru
196,181,75,biru
197,181,74,biru
197,181,74,biru
197,181,74,biru
197,181,75,biru
197,181,75,biru
197,181,73,biru
197,180,74,biru
197,180,74,biru
197,181,74,biru
197,181,74,biru
197,180,73,biru
197,180,73,biru
198,181,73,biru
198,181,73,biru
197,180,74,biru
197,180,74,biru
197,180,74,biru
198,180,74,biru
198,180,74,biru
198,180,74,biru
198,180,74,biru
198,180,74,biru
197,181,74,biru
197,181,74,biru
197,181,73,biru
197,181,73,biru
197,181,72,biru
197,181,72,merah
66,73,193,merah
63,71,193,merah
63,71,193,merah
64,70,194,merah
64,70,194,merah
64,71,194,merah
64,71,194,merah
64,72,194,merah
64,72,194,merah
65,71,194,merah
65,71,194,merah
65,71,194,merah
65,71,194,merah
65,72,194,merah
65,72,194,merah
65,72,194,merah
65,72,194,merah
66,72,194,merah
66,72,194,merah
66,72,194,merah
66,72,194,merah
65,71,195,merah
65,71,195,merah
66,73,194,merah
66,73,194,merah
66,73,194,merah
68,73,195,merah
68,73,195,merah
67,74,195,merah
67,74,195,merah
69,75,195,merah
69,75,195,merah
69,74,195,merah
69,74,195,merah
69,73,196,merah
69,73,196,merah
69,74,196,merah
69,74,196,merah
68,75,196,merah
68,75,196,merah
69,75,196,merah
69,75,196,merah
69,73,196,merah
69,73,196,merah
69,74,196,merah
69,74,196,merah
68,74,196,merah
68,74,196,merah
69,75,196,merah
69,75,196,merah
70,75,196,merah
70,75,196,merah
66,74,196,merah
66,73,195,merah
66,75,195,merah
66,75,195,merah
65,73,195,merah
65,73,195,merah
68,73,195,merah
68,73,195,merah
68,74,196,merah
68,74,196,merah
67,74,195,merah
67,74,195,merah
69,73,196,merah
65,74,196,merah
